TUFM	P49411	602389	7284	x
C15orf65	H3BRN8	x	145788	x
SMC1B	Q8NDV3	608685	27127	04110;04114
CD27	P26842	186711	939	04060
PROX2	Q3B8N5	615094	283571	x
PRICKLE1	Q96MT3	608500	144165	04310
ALDH9A1	P49189	602733	223	00340;00053;00410;00620;00380;00071;00280;00330;00310;00561;00010;01100
MICB	Q29980	602436	4277	04650;05167
ATM	Q13315	607585	472	03440;04115;01524;04064;04110;04068;04210;04218;05202;05170;05166;05131;05206;05165
DCLK1	O15075	604742	9201	x
MYBL2	P10244	601415	4605	04218
GOLGA3	Q08378	602581	2802	x
VPS37A	Q8NEZ2	609927	137492	04144
RNF212	Q495C1	612041	285498	x
PZP	P20742	176420	x	x
TRPM4	Q8TD43	606936	54795	04911
CCKAR	P32238	118444	886	04911;04972;04020;04080
TMPRSS4	Q9NRS4	606565	56649	05164
SLC25A29	Q8N8R3	615064	123096	04714
COL9A3	Q14050	120270	1299	04512;04974;04510;05165;04151
CDKN2A	P42771	600160	1029	05219;05223;04115;05218;01524;05214;05212;05220;01522;04110;04934;04218;05225;05203;05166;05163;05206;05200
LGALS12	Q96DT0	606096	85329	x
HLA-DRB1	P01911	142857	3123	05310;05330;05332;04940;04672;05320;05416;05321;05140;04612;04658;05323;05150;04640;04659;05145;05322;04514;04145;05164;05152;05169;05166;05168
EPG5	Q9HCE0	615068	57724	x
TOPBP1	Q92547	607760	11073	03440
EXOSC5	Q9NQT4	606492	56915	03018
TTC7A	Q9ULT0	609332	57217	x
ADCY5	O95622	600293	111	05030;04913;04923;04213;04927;04924;05031;04976;04918;04971;04911;04540;04211;04727;04970;05032;04912;05414;04713;01522;04925;04914;04750;04916;04972;04928;04725;04724;04726;04935;04611;04114;04926;00230;04270;04728;04371;04915;05012;04072;04723;04261;04921;04934;04022;05034;04062;04015;04024;05166;05163;04714;05200;01100
COQ5	Q5HYK3	616359	84274	00130;01100
AS3MT	Q9HBK9	611806	57412	x
HSD17B1	P14061	109684	3292	04913;00140;01100
DECR1	Q16698	222745	1666	x
NODAL	Q96S42	601265	4838	04350;04550;04060
GH2	P01242	139240	2689	04935;04630;04060;04080;04151
ISYNA1	Q9NPH2	611670	51477	00562;01100
