RRM2B	Q7LG56	604712	50484	00480;00240;04115;00983;00230;01100
BCO1	Q9HAY6	605748	53630	00830;01100
CYP2W1	Q8TAV3	615967	54905	x
GCKR	Q14397	600842	2646	x
NCS1	P62166	603315	23413	x
BSND	Q8WZ55	606412	7809	x
OAT	P04181	613349	4942	00330;01100
PLCD1	P51178	602142	5333	00562;04070;04933;04919;04020;05131;01100
TNPO1	Q92973	602901	3842	x
MYBL2	P10244	601415	4605	04218
MYH7	P12883	160760	4625	05416;04260;05410;05414;04919;04261;04022
SLC18A1	P54219	193002	6570	05030;05031;04721;04726;04728;05012;05034
MRPL18	Q9H0U6	611831	29074	03010
TNNI2	P48788	191043	7136	x
SLC25A10	Q9UBX3	606794	1468	04964
VPREB1	P12018	605141	7441	x
LARS2	Q15031	604544	23395	00970
DCHS2	Q6V1P9	612486	54798	04392
CYP2C8	P10632	601129	1558	00591;00590;00830;00982;05204;04726;01100
STXBP5	Q5T5C0	604586	134957	x
EDNRB	P24530	131244	1910	04916;04926;04022;04020;04080;05200
PLD2	O14939	602384	5338	00565;05212;04666;04912;00564;05231;04928;04724;04071;04072;04024;04014;04144;05200;01100
NCOA3	Q9Y6Q9	601937	8202	01522;04919;04915;05224;05200
HERC2	O95714	605837	8924	04120
PRPH	P41219	170710	5630	05014
KMT2A	Q03164	159555	4297	00310;04934;05202;01100
NETO1	Q8TDF5	607973	81832	x
SLC22A5	O76082	603377	6584	05231
THBS2	P35442	188061	7058	05144;04512;04145;04510;05165;04151
NDUFA8	P51970	603359	4702	00190;05012;04723;04932;05010;05016;04714;01100
PRNP	F7VJQ1	176640	x	x
IARS2	Q9NSE4	612801	55699	00970
TENT4A	Q5XG87	605198	11044	03018
PI4KA	P42356	600286	5297	00562;04070;01100
ARSE	P51690	300180	415	x
CYP3A4	P08684	124010	1576	00591;00140;00830;00982;04976;00980;00983;05204;01100
ABCC2	Q92887	601107	1244	01523;02010;04976;01524
ATXN8OS	P0DMR3	603680	x	x
HARS2	P49590	600783	23438	00970
SLC2A1	P11166	138140	6513	04920;05211;05230;04976;04911;04922;04931;04066;04919;05166;05200
MYL3	P08590	160790	4634	04260;05410;05414;04371;04261
TPI1	P60174	190450	7167	00051;00010;00562;01230;01200;01100
IRX5	P78411	606195	10265	x
CD46	P15529	120920	4179	04610;05162
DIO2	Q92813	601413	1734	04919
TGIF1	Q15583	602630	7050	04350
USP15	Q9Y4E8	604731	9958	04137
GABRB2	P47870	600232	2561	05033;04727;05032;04726;04723;04080
GEMIN4	P57678	606969	50628	03013
MYO15A	Q9UKN7	602666	51168	x
ADAM17	P78536	603639	6868	04330;05120;05010
SHPK	Q9UHJ6	605060	23729	01100
DSE	Q9UL01	605942	29940	00532;01100
ERBB4	Q15303	600543	2066	04012;04020;05205;04010;04151
CRBN	Q96SW2	609262	51185	x
CDK5RAP2	Q96SN8	608201	55755	x
FANCC	Q00597	613899	2176	03460
NDE1	Q9NXR1	609449	54820	x
SLC52A1	Q9NWF4	607883	55065	x
ADARB1	P78563	601218	104	x
MTF1	Q14872	600172	4520	x
GPD1L	Q8N335	611778	23171	00564
VKORC1	Q9BQB6	608547	79001	00130;01100
MAD1L1	Q9Y6D9	602686	8379	04914;04110;04114;05203;05166
CDHR1	Q96JP9	609502	92211	x
TNFRSF10B	O14763	603612	8795	04115;04061;04650;04210;04217;05164;05130;05132;04060
DGKD	Q16760	601826	8527	00561;00564;05231;04070;04072;01100
SYP	P08247	313475	6855	x
SLC35A1	P78382	605634	10559	x
DHCR24	Q15392	606418	1718	00100;01100
TMEM216	Q9P0N5	613277	51259	x
NRXN2	P58401	600566	x	x
COQ8A	Q8NI60	606980	56997	x
